Start Time,Event
7:00 AM,"Wake up, Freshen up, Drink water and milk, exercise, family time, me time"
7:45 AM,News Paper
8:15 AM,"Breakfast, family time, me time"
8:45 AM,Polity
10:15 AM,Office
1:00 PM,"Lunch, fam time, me time"
1:45 PM,News Paper
2:30 PM,Office
5:30 PM,"Office extended, Personal work, me time, time pass"
6:00 PM,"Fam time, exercise"
7:00 PM,Polity
8:00 PM,Bath
8:15 PM,"Dinner, Fam time"
9:00 PM,Polity
10:10 PM,"me time, personal time"
10:50 PM,Plan for tomorrow
11:00 PM,Sleep
